"","SPECIES","GENERA","EPITHET","FAMILY","PHYLUM","EPILIST","FLORA","DATASET_CLASSIFICATION","BIOME","COUNTRY","WWF_ECOREGION"
"1","Abrodictyum cellulosum","Abrodictyum","cellulosum","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","11, 18"
"2","Acianthera aurantiolateritia","Acianthera","aurantiolateritia","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","25"
"3","Acianthera boliviana","Acianthera","boliviana","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","10, 25"
"4","Acianthera crepiniana","Acianthera","crepiniana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"5","Acianthera crinita","Acianthera","crinita","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco","Argentina; Brazil","11, 13, 25"
"6","Acianthera cryptophoranthoides","Acianthera","cryptophoranthoides","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","6"
"7","Acianthera fockei","Acianthera","fockei","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11, 12"
"8","Acianthera glumacea","Acianthera","glumacea","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"9","Acianthera hamosa","Acianthera","hamosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 7, 9, 11"
"10","Acianthera herzogii","Acianthera","herzogii","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","10, 25"
"11","Acianthera hoffmannseggiana","Acianthera","hoffmannseggiana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"12","Acianthera klotzschiana","Acianthera","klotzschiana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"13","Acianthera macropoda","Acianthera","macropoda","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"14","Acianthera miqueliana","Acianthera","miqueliana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"15","Acianthera nemorosa","Acianthera","nemorosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"16","Acianthera pectinata","Acianthera","pectinata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Chaco","Argentina","10, 13"
"17","Acianthera pubescens","Acianthera","pubescens","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco; Pantanal","Brazil; Paraguay","1, 11, 12, 16, 21"
"18","Acianthera ramosa","Acianthera","ramosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"19","Acianthera saundersiana","Acianthera","saundersiana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","1, 6, 7, 8, 9, 11"
"20","Acianthera tricarinata","Acianthera","tricarinata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"21","Adamantinia miltonioides","Adamantinia","miltonioides","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","6, 7"
"22","Aechmea aquilega","Aechmea","aquilega","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","4, 5, 6, 7, 8, 11, 23, 24"
"23","Aechmea bicolor","Aechmea","bicolor","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","6, 7"
"24","Aechmea blanchetiana","Aechmea","blanchetiana","Bromeliaceae","Angiospermae","Epiphyte","Terrestrial","All","Caatinga","Brazil","7"
"25","Aechmea bracteata","Aechmea","bracteata","Bromeliaceae","Angiospermae","Epiphyte","Unknown","All","Caatinga","Brazil","8"
"26","Aechmea bromeliifolia","Aechmea","bromeliifolia","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Argentina; Brazil; Paraguay","1, 5, 6, 7, 8, 9, 11, 12, 16, 17, 18, 20, 21"
"27","Aechmea castelnavii","Aechmea","castelnavii","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","7, 8, 11, 17, 18"
"28","Aechmea costantinii","Aechmea","costantinii","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7, 23, 24"
"29","Aechmea cylindrata","Aechmea","cylindrata","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Cerrado","Brazil","11"
"30","Aechmea disjuncta","Aechmea","disjuncta","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","7, 9"
"31","Aechmea distichantha","Aechmea","distichantha","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Argentina; Bolivia; Brazil; Paraguay","1, 3, 6, 7, 11, 13, 14, 16, 20, 21, 22, 25"
"32","Aechmea fasciata","Aechmea","fasciata","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 11"
"33","Aechmea fulgens","Aechmea","fulgens","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","7, 8, 24"
"34","Aechmea lamarchei","Aechmea","lamarchei","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","6, 7, 9, 11"
"35","Aechmea leptantha","Aechmea","leptantha","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga","Brazil","7, 23, 24"
"36","Aechmea limai","Aechmea","limai","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","5"
"37","Aechmea lingulata","Aechmea","lingulata","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga","Brazil","5, 6, 7, 23, 24"
"38","Aechmea lingulatoides","Aechmea","lingulatoides","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","6, 7"
"39","Aechmea maranguapensis","Aechmea","maranguapensis","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","7, 8"
"40","Aechmea marauensis","Aechmea","marauensis","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","5, 6, 7"
"41","Aechmea mertensii","Aechmea","mertensii","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Pantanal","Brazil","7, 11, 21, 23, 24"
"42","Aechmea mulfordii","Aechmea","mulfordii","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Terrestrial","All","Caatinga","Brazil","7"
"43","Aechmea multiflora","Aechmea","multiflora","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","5, 6, 7"
"44","Aechmea muricata","Aechmea","muricata","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","7, 23"
"45","Aechmea nudicaulis","Aechmea","nudicaulis","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Edge","Brazil","5, 6, 7, 9, 11, 20, 23"
"46","Aechmea patentissima","Aechmea","patentissima","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Terrestrial","All","Caatinga","Brazil","6, 7, 23"
"47","Aechmea perforata","Aechmea","perforata","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Terrestrial","All","Caatinga","Brazil","5"
"48","Aechmea phanerophlebia","Aechmea","phanerophlebia","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 6, 9, 11"
"49","Aechmea setigera","Aechmea","setigera","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Cerrado","Brazil","11"
"50","Aechmea tocantina","Aechmea","tocantina","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Bolivia; Brazil","7, 8, 11, 13, 18, 20, 21"
"51","Aechmea tomentosa","Aechmea","tomentosa","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","7, 24"
"52","Aechmea werdermannii","Aechmea","werdermannii","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Rupicolous; Terrestrial","All","Caatinga","Brazil","7"
"53","Alternanthera sp.","Alternanthera",NA,"Amaranthaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","7"
"54","Amaryllis sp.","Amaryllis",NA,"Amaryllidaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","7"
"55","Ananas ananassoides","Ananas","ananassoides","Bromeliaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"56","Ananthacorus angustifolius","Ananthacorus","angustifolius","Pteridaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 11, 18"
"57","Anathallis aristulata","Anathallis","aristulata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"58","Anathallis barbulata","Anathallis","barbulata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","8, 11, 24"
"59","Anathallis brevipes","Anathallis","brevipes","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","11, 23"
"60","Anathallis corticicola","Anathallis","corticicola","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"61","Anathallis graveolens","Anathallis","graveolens","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","9, 11"
"62","Anathallis imbricata","Anathallis","imbricata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"63","Anathallis laciniata","Anathallis","laciniata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","9, 11"
"64","Anathallis liparanges","Anathallis","liparanges","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","6, 11"
"65","Anathallis marginata","Anathallis","marginata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"66","Anathallis microphyta","Anathallis","microphyta","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 7, 11"
"67","Anathallis montipelladensis","Anathallis","montipelladensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 7, 11"
"68","Anathallis nanifolia","Anathallis","nanifolia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"69","Anathallis paranaensis","Anathallis","paranaensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 11"
"70","Anathallis rubens","Anathallis","rubens","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 6, 7, 9, 11"
"71","Anathallis sclerophylla","Anathallis","sclerophylla","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 7, 8, 9, 11, 23"
"72","Anathallis welteri","Anathallis","welteri","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"73","Anthurium andraeanum","Anthurium","andraeanum","Araceae","Angiospermae","Epiphyte","Terrestrial","All","Caatinga; Cerrado; Chaco","Argentina; Brazil; Paraguay","7, 11, 16, 22"
"74","Anthurium atropurpureum","Anthurium","atropurpureum","Araceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Cerrado","Brazil","11"
"75","Anthurium bromelicola","Anthurium","bromelicola","Araceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7, 23"
"76","Anthurium clavigerum","Anthurium","clavigerum","Araceae","Angiospermae","Hemiepiphyte","Hemiepiphyte","All","Cerrado","Brazil","1, 11"
"77","Anthurium coriaceum","Anthurium","coriaceum","Araceae","Angiospermae","Epiphyte","Rupicolous","All","Caatinga","Brazil","7"
"78","Anthurium eminens","Anthurium","eminens","Araceae","Angiospermae","Epiphyte","Epiphyte; Hemiepiphyte","All","Caatinga; Pantanal","Brazil","7, 21"
"79","Anthurium gaudichaudianum","Anthurium","gaudichaudianum","Araceae","Angiospermae","Epiphyte","Terrestrial","All","Cerrado","Brazil","11"
"80","Anthurium gracile","Anthurium","gracile","Araceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 11, 24"
"81","Anthurium harrisii","Anthurium","harrisii","Araceae","Angiospermae","Epiphyte","Terrestrial","All","Caatinga; Cerrado","Brazil","6, 7, 11"
"82","Anthurium jilekii","Anthurium","jilekii","Araceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","6, 7"
"83","Anthurium kunthii","Anthurium","kunthii","Araceae","Angiospermae","Epiphyte","Epiphyte; Hemiepiphyte","All","Cerrado","Brazil","11"
"84","Anthurium paraguayense","Anthurium","paraguayense","Araceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Cerrado; Chaco; Pantanal","Argentina; Brazil; Paraguay","11, 12, 13, 16, 22"
"85","Anthurium parasiticum","Anthurium","parasiticum","Araceae","Angiospermae","Epiphyte","Terrestrial","All","Cerrado","Brazil","5, 11"
"86","Anthurium pentaphyllum","Anthurium","pentaphyllum","Araceae","Angiospermae","Epiphyte","Hemiepiphyte; Terrestrial","All","Caatinga; Cerrado","Brazil","5, 6, 7, 8, 11, 18, 23, 24"
"87","Anthurium plowmanii","Anthurium","plowmanii","Araceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco; Pantanal; Edge","Bolivia; Brazil","11, 12, 13, 20, 21"
"88","Anthurium scandens","Anthurium","scandens","Araceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 6, 7, 8, 9, 11, 24"
"89","Anthurium sinuatum","Anthurium","sinuatum","Araceae","Angiospermae","Epiphyte","Epiphyte; Hemiepiphyte","All","Caatinga; Cerrado","Brazil","1, 5, 7, 8, 11, 18"
"90","Anthurium solitarium","Anthurium","solitarium","Araceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 6, 7, 11"
"91","Anthurium sp.1","Anthurium",NA,"Araceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","7"
"92","Anthurium sp.2","Anthurium",NA,"Araceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","6"
"93","Aosa gilgiana","Aosa","gilgiana","Loasaceae","Angiospermae","Unknown","Rupicolous; Terrestrial","Paper exclusive accidental","Caatinga","Brazil","6"
"94","Araeococcus flagellifolius","Araeococcus","flagellifolius","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"95","Arrojadoa penicillata","Arrojadoa","penicillata","Cactaceae","Angiospermae","Unknown","Rupicolous; Terrestrial","Paper exclusive accidental","Caatinga","Brazil","6"
"96","Arrojadoa sp.","Arrojadoa",NA,"Cactaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","7"
"97","Aspasia variegata","Aspasia","variegata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"98","Aspilia latissima","Aspilia","latissima","Asteraceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"99","Asplenium achalense","Asplenium","achalense","Aspleniaceae","Pteridophyte","Epiphyte","Unknown","All","Chaco","Argentina","13, 25"
"100","Asplenium auriculatum","Asplenium","auriculatum","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco; Edge","Argentina; Brazil; Paraguay","1, 5, 6, 7, 9, 11, 16, 20, 25"
"101","Asplenium auritum","Asplenium","auritum","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal","Argentina; Brazil; Paraguay","6, 7, 8, 9, 10, 11, 12, 13, 16, 21, 25"
"102","Asplenium bangii","Asplenium","bangii","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte","All","Chaco","Argentina","13"
"103","Asplenium bipartitum","Asplenium","bipartitum","Aspleniaceae","Pteridophyte","Epiphyte","Unknown","All","Chaco","Argentina","25"
"104","Asplenium cuspidatum","Asplenium","cuspidatum","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Terrestrial","All","Caatinga; Cerrado; Chaco","Argentina; Brazil; Paraguay","7, 11, 13, 16, 25"
"105","Asplenium formosum","Asplenium","formosum","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco; Pantanal","Argentina; Brazil; Paraguay","1, 5, 6, 7, 8, 9, 11, 12, 13, 16, 21, 24, 25"
"106","Asplenium gastonis","Asplenium","gastonis","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Argentina; Brazil; Paraguay","1, 3, 7, 11, 16, 25"
"107","Asplenium hallii","Asplenium","hallii","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"108","Asplenium incurvatum","Asplenium","incurvatum","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","7, 9, 11"
"109","Asplenium mucronatum","Asplenium","mucronatum","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado; Chaco","Brazil; Paraguay","11, 16"
"110","Asplenium praemorsum","Asplenium","praemorsum","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Argentina; Brazil","5, 6, 7, 9, 10, 11, 13, 25"
"111","Asplenium pulchellum","Asplenium","pulchellum","Aspleniaceae","Pteridophyte","Epiphyte","Rupicolous","All","Cerrado; Chaco; Pantanal","Brazil; Paraguay","11, 12, 16"
"112","Asplenium raddianum","Asplenium","raddianum","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco","Argentina; Brazil; Paraguay","8, 11, 16, 25"
"113","Asplenium radicans","Asplenium","radicans","Aspleniaceae","Pteridophyte","Epiphyte","Terrestrial","All","Cerrado","Brazil","11"
"114","Asplenium salicifolium","Asplenium","salicifolium","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","7, 8, 11"
"115","Asplenium serra","Asplenium","serra","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco","Argentina; Brazil","5, 6, 7, 8, 9, 10, 11, 13, 25"
"116","Asplenium serratum","Asplenium","serratum","Aspleniaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco; Pantanal","Brazil; Paraguay","1, 6, 7, 11, 16, 21, 23"
"117","Asplenium ulbrichtii","Asplenium","ulbrichtii","Aspleniaceae","Pteridophyte","Epiphyte","Rupicolous; Terrestrial","All","Cerrado; Chaco","Argentina; Brazil; Paraguay","11, 16"
"118","Asplundia brachypus","Asplundia","brachypus","Cyclanthaceae","Pteridophyte","Unknown","Hemiepiphyte; Rupicolous; Terrestrial","All","Cerrado","Brazil","11"
"119","Asplundia gardneri","Asplundia","gardneri","Cyclanthaceae","Pteridophyte","Unknown","Hemiepiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","7, 11"
"120","Baccharis trimera","Baccharis","trimera","Asteraceae","Angiospermae","Unknown","Epiphyte; Rupicolous; Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"121","Banisteriopsis stellaris","Banisteriopsis","stellaris","Malpighiaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"122","Barbosella cogniauxiana","Barbosella","cogniauxiana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"123","Barbosella crassifolia","Barbosella","crassifolia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 7, 11"
"124","Barbosella dusenii","Barbosella","dusenii","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","6, 11"
"125","Begonia coccinea","Begonia","coccinea","Begoniaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"126","Begonia fruticosa","Begonia","fruticosa","Begoniaceae","Angiospermae","Epiphyte","Hemiepiphyte; Terrestrial","All","Cerrado","Brazil","9, 11"
"127","Begonia glabra","Begonia","glabra","Begoniaceae","Angiospermae","Epiphyte","Terrestrial","All","Cerrado","Brazil","11"
"128","Begonia sp.","Begonia",NA,"Begoniaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","7"
"129","Bertolonia mosenii","Bertolonia","mosenii","Melastomataceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Cerrado","Brazil","11"
"130","Bidens gardneri","Bidens","gardneri","Asteraceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"131","Bifrenaria aureofulva","Bifrenaria","aureofulva","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","6, 7, 9, 11"
"132","Bifrenaria calcarata","Bifrenaria","calcarata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","7"
"133","Bifrenaria harrisoniae","Bifrenaria","harrisoniae","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","3, 9, 11"
"134","Billbergia alfonsijoannis","Billbergia","alfonsijoannis","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"135","Billbergia amoena","Billbergia","amoena","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","6, 7, 9, 11"
"136","Billbergia distachia","Billbergia","distachia","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Cerrado","Brazil","1, 3, 11"
"137","Billbergia elegans","Billbergia","elegans","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Cerrado; Edge","Brazil","11, 20"
"138","Billbergia iridifolia","Billbergia","iridifolia","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 7, 11"
"139","Billbergia macrocalyx","Billbergia","macrocalyx","Bromeliaceae","Angiospermae","Epiphyte","Unknown","All","Caatinga","Brazil","7"
"140","Billbergia magnifica","Billbergia","magnifica","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco","Brazil; Paraguay","11, 16"
"141","Billbergia matogrossensis","Billbergia","matogrossensis","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"142","Billbergia meyeri","Billbergia","meyeri","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","1, 11"
"143","Billbergia morelii","Billbergia","morelii","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","6, 7, 23, 24"
"144","Billbergia nutans","Billbergia","nutans","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Cerrado; Chaco","Argentina; Brazil; Paraguay","1, 11, 13, 14, 16, 25"
"145","Billbergia porteana","Billbergia","porteana","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Brazil; Paraguay","1, 5, 6, 7, 9, 11, 16, 24"
"146","Billbergia sanderiana","Billbergia","sanderiana","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","5, 6, 7"
"147","Billbergia vittata","Billbergia","vittata","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Brazil; Paraguay","6, 7, 9, 11, 16"
"148","Brassavola ceboletta","Brassavola","ceboletta","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco","Brazil; Paraguay","6, 7, 9, 11, 16"
"149","Brassavola flagellaris","Brassavola","flagellaris","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","11, 18"
"150","Brassavola gardneri","Brassavola","gardneri","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","11, 18"
"151","Brassavola martiana","Brassavola","martiana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","6, 11, 18"
"152","Brassavola revoluta","Brassavola","revoluta","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Cerrado","Brazil","11"
"153","Brassavola tuberculata","Brassavola","tuberculata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Argentina; Brazil; Paraguay","4, 5, 6, 7, 9, 11, 14, 16, 18, 22, 23"
"154","Brassia lawrenceana","Brassia","lawrenceana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"155","Bromelia balansae","Bromelia","balansae","Bromeliaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Cerrado; Edge","Brazil","11, 20"
"156","Bromelia epiphytica","Bromelia","epiphytica","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"157","Bulbophyllum adiamantinum","Bulbophyllum","adiamantinum","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","9, 11"
"158","Bulbophyllum barbatum","Bulbophyllum","barbatum","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"159","Bulbophyllum carassense","Bulbophyllum","carassense","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","11"
"160","Bulbophyllum chloroglossum","Bulbophyllum","chloroglossum","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"161","Bulbophyllum ciluliae","Bulbophyllum","ciluliae","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","11"
"162","Bulbophyllum dusenii","Bulbophyllum","dusenii","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"163","Bulbophyllum epiphytum","Bulbophyllum","epiphytum","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","1, 9, 11"
"164","Bulbophyllum exaltatum","Bulbophyllum","exaltatum","Orchidaceae","Angiospermae","Epiphyte","Rupicolous","All","Caatinga; Cerrado","Brazil","5, 6, 7, 9, 11"
