"","releve_records","TITLE","LITERATURE","YEAR","TAX_SCOPE","SAMPLING_METHOD","QUANT_METHOD","SPECIES","GENERA","EPITHET","FAMILY","PHYLUM","IDENTIFICATION_CONFIDENCE","EPILIST","FLORA","DATASET_CLASSIFICATION","NATURALNESS","INCLUSION_REQUIREMENTS","NUMBER_INDIVIDUALS","SCORE","LONGITUDE","LATITUDE","PRECISION","LIMITS","PHOROPHYTE_FAMILY","PHOROPHYTE_GENUS","PHOROPHYTE_EPITHET","DBH","HEIGHT","OBS.","BIOME","COUNTRY","WWF_ECOREGION"
"890",15,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil","Paper",2003,"Orchidaceae","Others","Presence","Polystachya concreta","Polystachya","concreta","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Semi-natural","",NA,"",-43.976111,-21.186944,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"898",16,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil","Paper",2003,"Orchidaceae","Others","Presence","Polystachya foliosa","Polystachya","foliosa","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Semi-natural","",NA,"",-43.976111,-21.186944,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"1346",17,"A família Orchidaceae em um fragmento de floresta estacional semidecidual no município de Barroso, Minas Gerais, Brasil","Paper",2003,"Orchidaceae","Others","Presence","Trichocentrum pumilum","Trichocentrum","pumilum","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Semi-natural","",NA,"",-43.976111,-21.186944,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"5",18,"A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga","Paper",2016,"All","Others","Abundance"," ","","","Pteridaceae","Pteridophyte","morpho",NA,NA,"Paper exclusive","Semi-natural","",1,"",-37.2471,-8.5483,"Area","Inside","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ","Caatinga","Brazil","Caatinga"
"46",19,"A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga","Paper",2016,"All","Others","Abundance","Aechmea leptantha","Aechmea","leptantha","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Semi-natural","",10,"",-37.2471,-8.5483,"Area","Inside","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ","Caatinga","Brazil","Caatinga"
"76",20,"A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga","Paper",2016,"All","Others","Abundance","Anthurium sp.1","Anthurium","sp.1","Araceae","Angiospermae","morpho",NA,NA,"Paper exclusive","Semi-natural","",3,"",-37.2471,-8.5483,"Area","Inside","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ","Caatinga","Brazil","Caatinga"
"93",21,"A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga","Paper",2016,"All","Others","Abundance","Begonia sp.","Begonia","sp.","Begoniaceae","Angiospermae","morpho",NA,NA,"Paper exclusive","Semi-natural","",4,"",-37.2471,-8.5483,"Area","Inside","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ","Caatinga","Brazil","Caatinga"
"113",22,"A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga","Paper",2016,"All","Others","Abundance","Billbergia porteana","Billbergia","porteana","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Semi-natural","",38,"",-37.2471,-8.5483,"Area","Inside","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ","Caatinga","Brazil","Caatinga"
"282",23,"A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga","Paper",2016,"All","Others","Abundance","Catasetum purum","Catasetum","purum","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Semi-natural","",75,"",-37.2471,-8.5483,"Area","Inside","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ","Caatinga","Brazil","Caatinga"
"797",24,"A importância da palmeira Syagrus coronata (Mart.) Beec. para a conservação da riqueza e diversidade de espécies epífitas vasculares na Caatinga","Paper",2016,"All","Others","Abundance","Peperomia sp.4","Peperomia","sp.4","Piperaceae","Angiospermae","morpho",NA,NA,"Paper exclusive","Semi-natural","",1,"",-37.2471,-8.5483,"Area","Inside","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte species abundance among 50 Syagrus coronata (reproductive ones) and 50 tree individuals (DSH > 3 cm) from other species. The results were not by individual phorophyte. ","Caatinga","Brazil","Caatinga"
